case_id,horizon_steps,horizon_hours,startup_cost_g_per_start,soft_soc_penalty_g_per_kwh,soft_soc_penalty_scaling,forecast_method,moving_average_window_steps,rolling_fuel_kg,rolling_starts,short_1_2_step_generator_runs,one_step_generator_runs,two_step_generator_runs,rolling_min_soc_pct,rolling_max_soc_pct,rolling_final_soc_pct,fuel_delta_vs_full_kg,fuel_delta_vs_full_pct,starts_delta_vs_full,full_fuel_kg,full_starts,realized_low_soc_slack_kwh,realized_high_soc_slack_kwh,local_low_soc_slack_kwh,local_high_soc_slack_kwh,median_solve_s,p95_solve_s,max_solve_s,nonoptimal_solves,tail_padded_solves,wall_clock_s,config_path,run_dir
h12_startup500_softsoc250,12,3.0,500.0,250.0,mean,moving_average,4,689.2072872074028,12,7,7,0,17.214201427769837,60.0,28.77530882558536,17.813680206017917,2.653239473872615,8,671.3936070013849,4,376.45661184258245,0.0,62952.24052797317,0.0,0.03868412971496582,0.8390617370605467,3.4729371070861816,0,0,128.11275899999964,C:\Users\bulve\OneDrive\master\model\analysis\output\rolling_horizon\forecast_soft_soc_mean_penalty_tuning_screen\generated_configs\h12_startup500_softsoc250.toml,C:\Users\bulve\OneDrive\master\model\runs\2026-04-28_121221_forecast_soft_soc_mean_tuning_h12_startup500_softsoc250
h12_startup500_softsoc1000,12,3.0,500.0,1000.0,mean,moving_average,4,688.0181973684508,10,5,5,0,20.354203002940967,60.0,28.494918812984093,16.62459036706586,2.4761317643930987,6,671.3936070013849,4,0.0,0.0,9693.17125968512,0.0,0.029834985733032227,0.8120691299438473,2.3755719661712646,0,0,84.13968589999968,C:\Users\bulve\OneDrive\master\model\analysis\output\rolling_horizon\forecast_soft_soc_mean_penalty_tuning_screen\generated_configs\h12_startup500_softsoc1000.toml,C:\Users\bulve\OneDrive\master\model\runs\2026-04-28_121349_forecast_soft_soc_mean_tuning_h12_startup500_softsoc1000
h12_startup500_softsoc5000,12,3.0,500.0,5000.0,mean,moving_average,4,702.0919326834149,10,5,4,1,22.03830662362809,60.0,35.22423502239641,30.698325682029942,4.572329161598141,6,671.3936070013849,4,0.0,0.0,155.8147560504587,0.0,0.0188601016998291,0.47940139770507795,1.2139008045196533,0,0,59.49618670000018,C:\Users\bulve\OneDrive\master\model\analysis\output\rolling_horizon\forecast_soft_soc_mean_penalty_tuning_screen\generated_configs\h12_startup500_softsoc5000.toml,C:\Users\bulve\OneDrive\master\model\runs\2026-04-28_121448_forecast_soft_soc_mean_tuning_h12_startup500_softsoc5000
h12_startup500_softsoc10000,12,3.0,500.0,10000.0,mean,moving_average,4,697.5170481184581,8,3,3,0,20.31490166872196,60.0,32.81664473684209,26.123441117073178,3.8909278915757217,4,671.3936070013849,4,0.0,0.0,48.91707226101478,0.0,0.019137144088745117,0.613453674316406,1.1331470012664795,0,0,61.50915590000113,C:\Users\bulve\OneDrive\master\model\analysis\output\rolling_horizon\forecast_soft_soc_mean_penalty_tuning_screen\generated_configs\h12_startup500_softsoc10000.toml,C:\Users\bulve\OneDrive\master\model\runs\2026-04-28_121550_forecast_soft_soc_mean_tuning_h12_startup500_softsoc10000
h12_startup1000_softsoc250,12,3.0,1000.0,250.0,mean,moving_average,4,697.0068219496875,10,5,5,0,16.389263717806564,60.0,32.84140537513997,25.613214948302485,3.8149328026368368,6,671.3936070013849,4,492.12868749969937,0.0,59047.953223679215,0.0,0.017499208450317383,0.154184865951538,0.7579748630523682,0,0,37.5814233000001,C:\Users\bulve\OneDrive\master\model\analysis\output\rolling_horizon\forecast_soft_soc_mean_penalty_tuning_screen\generated_configs\h12_startup1000_softsoc250.toml,C:\Users\bulve\OneDrive\master\model\runs\2026-04-28_121627_forecast_soft_soc_mean_tuning_h12_startup1000_softsoc250
h12_startup1000_softsoc1000,12,3.0,1000.0,1000.0,mean,moving_average,4,709.2115343145933,9,4,4,0,22.103395156914495,60.0,39.766669932810736,37.817927313208344,5.632750583091319,5,671.3936070013849,4,0.0,0.0,10100.625065984788,0.0,0.017176151275634766,0.3144133090972898,1.3974049091339111,0,0,51.55592890000116,C:\Users\bulve\OneDrive\master\model\analysis\output\rolling_horizon\forecast_soft_soc_mean_penalty_tuning_screen\generated_configs\h12_startup1000_softsoc1000.toml,C:\Users\bulve\OneDrive\master\model\runs\2026-04-28_121719_forecast_soft_soc_mean_tuning_h12_startup1000_softsoc1000
h12_startup1000_softsoc5000,12,3.0,1000.0,5000.0,mean,moving_average,4,719.9628729235492,10,5,5,0,23.208798292302454,60.0,45.18569288913773,48.56926592216419,7.23409716977898,6,671.3936070013849,4,0.0,0.0,161.28152534596796,0.0,0.01945805549621582,0.4198512554168701,0.858314037322998,0,0,62.02817850000065,C:\Users\bulve\OneDrive\master\model\analysis\output\rolling_horizon\forecast_soft_soc_mean_penalty_tuning_screen\generated_configs\h12_startup1000_softsoc5000.toml,C:\Users\bulve\OneDrive\master\model\runs\2026-04-28_121820_forecast_soft_soc_mean_tuning_h12_startup1000_softsoc5000
h12_startup1000_softsoc10000,12,3.0,1000.0,10000.0,mean,moving_average,4,734.108806201678,6,1,0,1,21.14000000000088,60.0,52.84140537514003,62.71519920029305,9.341048015097302,2,671.3936070013849,4,0.0,0.0,28.425003257458975,0.0,0.018208980560302734,0.34542102813720693,1.057246208190918,0,0,51.835911600001054,C:\Users\bulve\OneDrive\master\model\analysis\output\rolling_horizon\forecast_soft_soc_mean_penalty_tuning_screen\generated_configs\h12_startup1000_softsoc10000.toml,C:\Users\bulve\OneDrive\master\model\runs\2026-04-28_121913_forecast_soft_soc_mean_tuning_h12_startup1000_softsoc10000
h12_startup2500_softsoc250,12,3.0,2500.0,250.0,mean,moving_average,4,699.2976358748328,6,1,0,1,9.762795352741618,60.0,34.406161464165876,27.90402887344791,4.15613562334536,2,671.3936070013849,4,2034.2136628292383,0.0,84937.66282237343,0.0,0.020779132843017578,0.15178523063659669,0.8742489814758301,0,0,40.022711899999194,C:\Users\bulve\OneDrive\master\model\analysis\output\rolling_horizon\forecast_soft_soc_mean_penalty_tuning_screen\generated_configs\h12_startup2500_softsoc250.toml,C:\Users\bulve\OneDrive\master\model\runs\2026-04-28_121952_forecast_soft_soc_mean_tuning_h12_startup2500_softsoc250
h12_startup2500_softsoc1000,12,3.0,2500.0,1000.0,mean,moving_average,4,711.8275242524605,11,6,6,0,20.783847461335924,60.0,40.789136338185884,40.43391725107562,6.022386395912198,7,671.3936070013849,4,0.0,0.0,10594.57949458767,0.0,0.016903162002563477,0.214665126800537,0.7892980575561523,0,0,44.82656160000079,C:\Users\bulve\OneDrive\master\model\analysis\output\rolling_horizon\forecast_soft_soc_mean_penalty_tuning_screen\generated_configs\h12_startup2500_softsoc1000.toml,C:\Users\bulve\OneDrive\master\model\runs\2026-04-28_122038_forecast_soft_soc_mean_tuning_h12_startup2500_softsoc1000
h12_startup2500_softsoc5000,12,3.0,2500.0,5000.0,mean,moving_average,4,713.7991660090858,8,3,3,0,22.2272697369098,60.0,42.00741671333038,42.40555900770077,6.316050460637361,4,671.3936070013849,4,0.0,0.0,88.40901962081395,0.0,0.017195940017700195,0.34927959442138634,0.8534519672393799,0,0,48.82196169999952,C:\Users\bulve\OneDrive\master\model\analysis\output\rolling_horizon\forecast_soft_soc_mean_penalty_tuning_screen\generated_configs\h12_startup2500_softsoc5000.toml,C:\Users\bulve\OneDrive\master\model\runs\2026-04-28_122127_forecast_soft_soc_mean_tuning_h12_startup2500_softsoc5000
h12_startup2500_softsoc10000,12,3.0,2500.0,10000.0,mean,moving_average,4,705.1306029084521,7,2,1,1,20.437032474804127,60.0,37.3073957166312,33.736995907067204,5.024920636010407,3,671.3936070013849,4,0.0,0.0,40.12907888215509,0.0,0.018754005432128906,0.2957553386688231,1.5897719860076904,0,0,50.44522549999965,C:\Users\bulve\OneDrive\master\model\analysis\output\rolling_horizon\forecast_soft_soc_mean_penalty_tuning_screen\generated_configs\h12_startup2500_softsoc10000.toml,C:\Users\bulve\OneDrive\master\model\runs\2026-04-28_122217_forecast_soft_soc_mean_tuning_h12_startup2500_softsoc10000
h16_startup500_softsoc250,16,4.0,500.0,250.0,mean,moving_average,4,674.5018251385054,10,5,5,0,18.005836716125405,60.0,20.811301091825307,3.108218137120479,0.46295021351224563,6,671.3936070013849,4,193.43937006580782,0.0,74087.04760855324,0.0,0.02692389488220215,0.7076972007751465,1.7612030506134033,0,0,62.97823260000041,C:\Users\bulve\OneDrive\master\model\analysis\output\rolling_horizon\forecast_soft_soc_mean_penalty_tuning_screen\generated_configs\h16_startup500_softsoc250.toml,C:\Users\bulve\OneDrive\master\model\runs\2026-04-28_122320_forecast_soft_soc_mean_tuning_h16_startup500_softsoc250
h16_startup500_softsoc1000,16,4.0,500.0,1000.0,mean,moving_average,4,692.0731676177184,9,4,4,0,24.35403100517831,60.0,30.432838745800638,20.679560616333386,3.0800949548348515,5,671.3936070013849,4,0.0,0.0,17706.043067833863,0.0,0.030141830444335938,0.8914854049682613,2.437709093093872,0,0,77.7200585999999,C:\Users\bulve\OneDrive\master\model\analysis\output\rolling_horizon\forecast_soft_soc_mean_penalty_tuning_screen\generated_configs\h16_startup500_softsoc1000.toml,C:\Users\bulve\OneDrive\master\model\runs\2026-04-28_122434_forecast_soft_soc_mean_tuning_h16_startup500_softsoc1000
h16_startup500_softsoc5000,16,4.0,500.0,5000.0,mean,moving_average,4,710.6885840720228,9,4,3,1,25.816464515729326,60.0,40.555701987682575,39.29497707063786,5.852748173480419,5,671.3936070013849,4,0.0,0.0,193.97897990177017,0.0,0.031902313232421875,0.8363579750061034,2.2185218334198,0,0,135.40669139999954,C:\Users\bulve\OneDrive\master\model\analysis\output\rolling_horizon\forecast_soft_soc_mean_penalty_tuning_screen\generated_configs\h16_startup500_softsoc5000.toml,C:\Users\bulve\OneDrive\master\model\runs\2026-04-28_122653_forecast_soft_soc_mean_tuning_h16_startup500_softsoc5000
h16_startup500_softsoc10000,16,4.0,500.0,10000.0,mean,moving_average,4,712.9430128912745,11,6,6,0,26.952200622916155,60.0,41.619920562709936,41.54940588988958,6.188531653653929,7,671.3936070013849,4,0.0,0.0,67.9381495463326,0.0,0.023363113403320312,0.9563230037689208,2.2884278297424316,0,0,85.17872669999997,C:\Users\bulve\OneDrive\master\model\analysis\output\rolling_horizon\forecast_soft_soc_mean_penalty_tuning_screen\generated_configs\h16_startup500_softsoc10000.toml,C:\Users\bulve\OneDrive\master\model\runs\2026-04-28_122815_forecast_soft_soc_mean_tuning_h16_startup500_softsoc10000
h16_startup1000_softsoc250,16,4.0,1000.0,250.0,mean,moving_average,4,699.1768281514302,9,4,4,0,17.3092157754717,60.0,33.95506998880181,27.783221150045282,4.138142046679925,5,671.3936070013849,4,190.60809210550258,0.0,72689.84321712509,0.0,0.04166221618652344,0.6565859794616699,2.006964921951294,0,0,75.72140860000036,C:\Users\bulve\OneDrive\master\model\analysis\output\rolling_horizon\forecast_soft_soc_mean_penalty_tuning_screen\generated_configs\h16_startup1000_softsoc250.toml,C:\Users\bulve\OneDrive\master\model\runs\2026-04-28_122934_forecast_soft_soc_mean_tuning_h16_startup1000_softsoc250
h16_startup1000_softsoc1000,16,4.0,1000.0,1000.0,mean,moving_average,4,710.4842030525227,8,3,3,0,25.487534994678906,60.0,40.21349629059348,39.09059605113778,5.822306861950376,4,671.3936070013849,4,0.0,0.0,17171.81037667505,0.0,0.027904987335205078,0.5071878910064695,1.3015921115875244,0,0,70.88212380000004,C:\Users\bulve\OneDrive\master\model\analysis\output\rolling_horizon\forecast_soft_soc_mean_penalty_tuning_screen\generated_configs\h16_startup1000_softsoc1000.toml,C:\Users\bulve\OneDrive\master\model\runs\2026-04-28_123044_forecast_soft_soc_mean_tuning_h16_startup1000_softsoc1000
h16_startup1000_softsoc5000,16,4.0,1000.0,5000.0,mean,moving_average,4,723.4081055795509,6,1,1,0,25.562394666930494,63.69433790593641,46.93172837343246,52.014498578166005,7.747243648993922,2,671.3936070013849,4,0.0,0.0,71.10645388243711,0.0,0.02077484130859375,0.5053369998931884,2.1261491775512695,0,0,69.59189570000126,C:\Users\bulve\OneDrive\master\model\analysis\output\rolling_horizon\forecast_soft_soc_mean_penalty_tuning_screen\generated_configs\h16_startup1000_softsoc5000.toml,C:\Users\bulve\OneDrive\master\model\runs\2026-04-28_123151_forecast_soft_soc_mean_tuning_h16_startup1000_softsoc5000
h16_startup1000_softsoc10000,16,4.0,1000.0,10000.0,mean,moving_average,4,725.4039457055428,6,1,1,0,24.67686170213888,61.78672977323628,48.330091860301465,54.01033870415785,8.04451191386552,2,671.3936070013849,4,0.0,0.0,30.01562989117551,0.0,0.031275033950805664,0.7571030139923094,1.2804920673370361,0,0,91.58978299999944,C:\Users\bulve\OneDrive\master\model\analysis\output\rolling_horizon\forecast_soft_soc_mean_penalty_tuning_screen\generated_configs\h16_startup1000_softsoc10000.toml,C:\Users\bulve\OneDrive\master\model\runs\2026-04-28_123324_forecast_soft_soc_mean_tuning_h16_startup1000_softsoc10000
h16_startup2500_softsoc250,16,4.0,2500.0,250.0,mean,moving_average,4,689.9983035498659,7,2,2,0,13.02027225643905,60.0,28.87795212765957,18.604696548481005,2.771056553781369,3,671.3936070013849,4,1158.1302039473533,0.0,97216.57451316474,0.0,0.04057598114013672,0.3354223728179931,2.492746114730835,0,0,71.94418620000033,C:\Users\bulve\OneDrive\master\model\analysis\output\rolling_horizon\forecast_soft_soc_mean_penalty_tuning_screen\generated_configs\h16_startup2500_softsoc250.toml,C:\Users\bulve\OneDrive\master\model\runs\2026-04-28_123436_forecast_soft_soc_mean_tuning_h16_startup2500_softsoc250
h16_startup2500_softsoc1000,16,4.0,2500.0,1000.0,mean,moving_average,4,701.1014892834986,8,3,3,0,22.015393687151626,60.0,35.13979598278433,29.707882282113655,4.424808632717943,4,671.3936070013849,4,0.0,0.0,18114.384647644125,0.0,0.033425092697143555,0.4116646766662597,2.299600839614868,0,0,69.62278839999999,C:\Users\bulve\OneDrive\master\model\analysis\output\rolling_horizon\forecast_soft_soc_mean_penalty_tuning_screen\generated_configs\h16_startup2500_softsoc1000.toml,C:\Users\bulve\OneDrive\master\model\runs\2026-04-28_123546_forecast_soft_soc_mean_tuning_h16_startup2500_softsoc1000
h16_startup2500_softsoc5000,16,4.0,2500.0,5000.0,mean,moving_average,4,732.965301914113,6,1,1,0,24.676861702149097,61.53135498320269,52.528973264278214,61.57169491272804,9.170729996629388,2,671.3936070013849,4,0.0,0.0,233.08608512768998,0.0,0.03211212158203125,0.6257870197296143,2.1204278469085693,0,0,83.30576110000038,C:\Users\bulve\OneDrive\master\model\analysis\output\rolling_horizon\forecast_soft_soc_mean_penalty_tuning_screen\generated_configs\h16_startup2500_softsoc5000.toml,C:\Users\bulve\OneDrive\master\model\runs\2026-04-28_123709_forecast_soft_soc_mean_tuning_h16_startup2500_softsoc5000
h16_startup2500_softsoc10000,16,4.0,2500.0,10000.0,mean,moving_average,4,720.2919225708225,6,1,1,0,24.37277225645127,61.53135498320269,45.15439319708846,48.89831556943757,7.283107116230958,2,671.3936070013849,4,0.0,0.0,24.940763126837545,0.0,0.03133893013000488,0.5732152462005615,1.7226648330688477,0,0,77.28758329999982,C:\Users\bulve\OneDrive\master\model\analysis\output\rolling_horizon\forecast_soft_soc_mean_penalty_tuning_screen\generated_configs\h16_startup2500_softsoc10000.toml,C:\Users\bulve\OneDrive\master\model\runs\2026-04-28_123826_forecast_soft_soc_mean_tuning_h16_startup2500_softsoc10000
